iupac,smiles,expt,calc
nitralin,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],-7.98,-11.246
"N,N-4-trimethylbenzamide",Cc1ccc(cc1)C(=O)N(C)C,-9.76,-8.081
methyl benzoate,COC(=O)c1ccccc1,-3.92,-4.921
4-methylbenzaldehyde,Cc1ccc(cc1)C=O,-4.27,-5.014
mesitylene,Cc1cc(cc(c1)C)C,-0.9,-0.553
dichlobenil,c1cc(c(c(c1)Cl)C#N)Cl,-4.71,-3.32
"1,2,4,5-tetrachlorobenzene",c1c(c(cc(c1Cl)Cl)Cl)Cl,-1.34,0.035
diethoxymethoxybenzene,CCOC(OCC)Oc1ccccc1,-5.23,-5.203
3-nitrophenol,c1cc(cc(c1)O)[N+](=O)[O-],-9.62,-7.889
2-phenylethanol,c1ccc(cc1)CCO,-6.79,-5.28
fenuron,CN(C)C(=O)Nc1ccccc1,-9.13,-11.81
"2,6-dimethylaniline",Cc1cccc(c1N)C,-5.21,-5.57
3-nitroaniline,c1cc(cc(c1)[N+](=O)[O-])N,-8.84,-8.204
2-methoxyaniline,COc1ccccc1N,-6.12,-6.771
phenol,c1ccc(cc1)O,-6.6,-5.707
o-cresol,Cc1ccccc1O,-5.9,-5.076
4-nitrophenol,c1cc(ccc1[N+](=O)[O-])O,-10.64,-8.472
4-chloroaniline,c1cc(ccc1N)Cl,-5.9,-5.281
2-methylbenzaldehyde,Cc1ccccc1C=O,-3.93,-4.554
"N,N-dimethyl-4-nitro-benzamide",CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-11.95,-10.036
trifluralin,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.25,-2.023
pentachloronitrobenzene,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,-5.22,-1.284
"1,2,2-trifluoroethoxybenzene",c1ccc(cc1)O[C@@H](C(F)F)F,-1.29,-3.043
sec-butylbenzene,CC[C@H](C)c1ccccc1,-0.45,-0.22
3-phenylpropan-1-ol,c1ccc(cc1)CCCO,-6.92,-5.771
"2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate",CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],-6.23,-5.378
methyl 4-methoxybenzoate,COc1ccc(cc1)C(=O)OC,-5.33,-6.462
"N-(3,4-dichlorophenyl)propanimidic acid",CCC(=O)Nc1ccc(c(c1)Cl)Cl,-7.78,-9.409
3-chloroaniline,c1cc(cc(c1)Cl)N,-5.82,-5.138
"N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline",CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.51,-2.303
1-(4-methoxyphenyl)ethanone,CC(=O)c1ccc(cc1)OC,-4.4,-6.575
"1,2,3,5-tetrachlorobenzene",c1c(cc(c(c1Cl)Cl)Cl)Cl,-1.62,0.136
1-phenylethanone,CC(=O)c1ccccc1,-4.58,-5.078
"1,3,5-trichlorobenzene",c1c(cc(cc1Cl)Cl)Cl,-0.78,0.326
propyl paraben,CCCOC(=O)c1ccc(cc1)O,-9.37,-8.945
3-chlorophenol,c1cc(cc(c1)Cl)O,-6.62,-5.018
benzamide,c1ccc(cc1)C(=O)N,-11.0,-10.412
1-methyl-3-nitro-benzene,Cc1cccc(c1)[N+](=O)[O-],-3.45,-3.278
tert-butylbenzene,CC(C)(C)c1ccccc1,-0.44,-0.803
"2,4-dimethylphenol",Cc1ccc(c(c1)C)O,-6.01,-4.98
ibuprofen,C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O,-7.0,-10.857
"3,4-dimethylphenol",Cc1ccc(cc1C)O,-6.5,-5.471
4-chloro-3-methyl-phenol,Cc1cc(ccc1Cl)O,-6.79,-5.14
isopropenylbenzene,CC(=C)c1ccccc1,-1.24,-0.651
bromobenzene,c1ccc(cc1)Br,-1.46,-0.947
1-methyl-2-nitro-benzene,Cc1ccccc1[N+](=O)[O-],-3.58,-3.133
4-nitroaniline,c1cc(ccc1N)N(=O)=O,-9.82,-9.416
4-methoxyaniline,COc1ccc(cc1)N,-7.48,-7.016
isobutylbenzene,CC(C)Cc1ccccc1,0.16,-0.257
2-chlorophenol,c1ccc(c(c1)O)Cl,-4.55,-3.317
2-fluorophenol,c1ccc(c(c1)O)F,-5.29,-3.346
styrene,C=Cc1ccccc1,-1.24,-1.078
o-xylene,Cc1ccccc1C,-0.9,-0.851
p-cresol,Cc1ccc(cc1)O,-6.13,-5.579
2-methoxyphenol,COc1ccccc1O,-5.94,-4.746
2-nitrophenol,c1ccc(c(c1)[N+](=O)[O-])O,-4.58,-5.667
hexachlorobenzene,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,-2.33,0.379
4-hydroxybenzaldehyde,c1cc(ccc1C=O)O,-8.83,-10.05
2-ethylpyridine,CCc1ccccn1,-4.33,-3.31
2-methylpyridine,Cc1ccccn1,-4.63,-3.501
"2,4-dimethylpyridine",Cc1ccnc(c1)C,-4.86,-3.282
"3,4-dimethylpyridine",Cc1ccncc1C,-5.22,-3.201
2-chloropyridine,c1ccnc(c1)Cl,-4.39,-3.873
4-ethylpyridine,CCc1ccncc1,-4.73,-3.19
chlorpyrifos,CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-5.04,-9.625
1-(3-pyridyl)ethanone,CC(=O)c1cccnc1,-8.26,-7.844
pyridine,c1ccncc1,-4.69,-3.508
"2,6-dimethylpyridine",Cc1cccc(n1)C,-4.59,-3.443
pyridine-3-carbaldehyde,c1cc(cnc1)C=O,-7.1,-7.425
pyridine-3-carbonitrile,c1cc(cnc1)C#N,-6.75,-5.582
pyridine-4-carbaldehyde,c1cnccc1C=O,-7.0,-7.338
3-chloropyridine,c1cc(cnc1)Cl,-4.01,-2.767
4-methylpyridine,Cc1ccncc1,-4.93,-3.343
3-methylpyridine,Cc1cccnc1,-4.77,-3.221
"2,3-dimethylpyridine",Cc1cccnc1C,-4.82,-3.367
pyridine-4-carbonitrile,c1cnccc1C#N,-6.02,-5.765
1-(4-pyridyl)ethanone,CC(=O)c1ccncc1,-7.62,-7.566
"2,5-dimethylpyridine",Cc1ccc(nc1)C,-4.72,-3.165
3-ethylpyridine,CCc1cccnc1,-4.59,-2.965
"3,5-dimethylpyridine",Cc1cc(cnc1)C,-4.84,-2.869
"1,2,4,5-tetrachloro-3-(3,4-dichlorophenyl)benzene",c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-4.38,-0.705
"1,4-dichloro-2-phenyl-benzene",c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46,-1.903
"1,2,3,4-tetrachloro-5-phenyl-benzene",c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48,-1.31
"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17,-0.822
"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04,-1.083
"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98,0.76
1-chloro-2-phenyl-benzene,c1ccc(cc1)c2ccccc2Cl,-2.69,-2.508
"1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene",c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4,-0.805
"1,3-dichloro-2-(2,6-dichlorophenyl)benzene",c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,-2.28,-1.226
diflunisal,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4,-6.613
biphenyl,c1ccc(cc1)c2ccccc2,-2.7,-3.143
flurbiprofen,C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,-8.42,-13.953
"1,2,3,4-tetrachloro-5-(2,3,4,6-tetrachlorophenyl)benzene",c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,-4.61,-0.039
"1,2,3-trichloro-5-(2,5-dichlorophenyl)benzene",c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-3.61,-0.922
"1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene",c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,-1.96,-0.477
"1,3,5-trichloro-2-phenyl-benzene",c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,-2.16,-1.151
cyclohexanone,C1CCC(=O)CC1,-4.91,-4.18
"(2S,5R)-2-isopropyl-5-methylcyclohexanone",C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53,-3.523
"(2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.75,-3.344
