smiles,ESOL predicted log solubility in mols per litre
Cc1ccc2ccccc2c1,-3.802
Clc1cccc2ccccc12,-4.063
Brc1ccc2ccccc2c1,-4.434
CCc1ccc2ccccc2c1,-4.1
Cc1cccc2ccccc12,-3.802
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12 ,-4.088
Cc1ccc2cc(C)ccc2c1,-4.147
Cc1cccc2c(C)cccc12,-4.147
Oc1cccc2ccccc12,-3.08
Cc1cc2ccccc2cc1C,-4.116
O=N(=O)c1cccc2ccccc12,-3.414
CNC(=O)Oc1cccc2ccccc12,-3.087
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.974
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.312
O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-1.958
O=C1NC(=O)NC(=O)C1(C)CC=C,-1.013
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.06
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-1.942
O=C1NC(=O)NC(=O)C1(CC)CC,-1.265
CCC1(CC)C(=O)NC(=O)N(C)C1=O ,-1.658
O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-2.415
O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,-2.312
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.706
O=C1NC(=O)NC(=O)C1(CC)CC=C,-1.368
CCC1(C(C)C)C(=O)NC(=O)NC1=O ,-1.603
O=C1NC(=O)NC(=O)C1(CC=C)CC=C,-1.471
O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,-2.312
O=C1NC(=O)NC(=O)C1(CC)C(C)C,-1.603
O=C1NC(=O)NC(=O)C1(C)CC,-0.911
O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,-2.126
CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O ,-2.766
O=C1NC(=O)NC(=O)C1(C)C,-0.556
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,-2.465
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.939
CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,-3.172
CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,-3.858
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-4.073
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.159
CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-4.472
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.17
CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-4.449
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.876
CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O ,-3.066
CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-4.87
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1O,-3.659
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-3.692
CC(=O)OC3(C)CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-4.863
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.454
CC34CCC1C(CCC2=CC(=O)CCC12O)C3CCC4(O)C#C,-2.669
CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,-4.241
CCNc1nc(Cl)nc(n1)N(CC)CC,-3.233
CCNc1nc(Cl)nc(NC(C)C)n1,-3.069
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.497
COc1nc(NC(C)C)nc(NC(C)C)n1,-3.448
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-3.663
CCNc1nc(NC(C)C)nc(SC)n1,-3.43
CCNc1nc(NC(C)(C)C)nc(SC)n1,-3.75
CCNc1nc(NC(C)C)nc(OC)n1,-3.185
CCNc1nc(Cl)nc(NCC)n1 ,-2.811
CSc1nc(nc(n1)N(C)C)N(C)C,-2.689
COCCCNc1nc(NC(C)C)nc(SC)n1,-3.259
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-2.49
CN(C)c1nc(nc(n1)N(C)C)N(C)C,-2.492
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-3.329
CSc1nc(NC(C)C)nc(NC(C)C)n1,-3.693
CCNc1nc(NC(C)(C)C)nc(OC)n1,-3.505
c1ccncc1,-1.481
Cc1ccncc1C,-2.067
Cc1cccc(C)n1,-2.098
Cc1cccnc1C,-2.067
Oc1ccccn1,-1.655
Cc1ccnc(C)c1,-2.098
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl ,-4.972
c1nccc(C(=O)NN)c1,-0.717
COC(=O)c1cccnc1 ,-1.621
CCc1ccccn1,-2.051
Cc1cncc(C)c1,-2.098
NC(=O)c1cccnc1 ,-0.964
Clc1cccc(n1)C(Cl)(Cl)Cl,-3.833
Oc1ccncc1,-1.655
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-5.538
ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.008
c1ccccc1C(O)c2ccccc2,-3.033
OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-6.268
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl ,-6.008
c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,-5.093
CN(C)C(=O)C(c1ccccc1)c2ccccc2 ,-3.147
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-6.638
C(c1ccccc1)c2ccccc2,-4.09
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2 ,-5.833
ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2 ,-6.008
Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O,-4.924
CC(C)C1CCC(C)CC1O ,-2.782
OC1CCCCC1,-1.261
CCSC(=O)N(CC)C1CCCCC1 ,-3.35
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.009
C/C1CCC(\C)CC1,-3.305
C1CCCCC1,-2.477
CC1CCCCC1,-2.891
C/C1CCCCC1\C,-3.305
CCC1CCCCC1,-3.245
OC1C(O)C(O)C(O)C(O)C1O,-0.887
Cc1ncnc2nccnc12,-1.24
Oc2ncc1nccnc1n2,-1.404
COc2cnc1ncncc1n2,-1.589
COc1ncnc2nccnc12 ,-1.589
COc2ncc1nccnc1n2,-1.589
Cc2ncc1nccnc1n2,-1.24
Cc2cnc1cncnc1n2,-1.24
COc2cnc1cncnc1n2,-1.589
c2cnc1ncncc1n2,-0.906
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-2.734
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,-3.876
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-2.974
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.4
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C ,-3.507
CCCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CO,-5.062
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.539
CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O ,-3.933
CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14,-3.507
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.153
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.84
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.496
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-3.057
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-3.81
O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-2.723
O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-3.128
O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-3.469
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-6.84
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-7.44
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-6.775
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,-7.129
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-6.905
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,-6.15
CC(C)=CC3C(C(=O)OCc2cccc(Oc1ccccc1)c2)C3(C)C ,-6.763
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,-3.419
Cc1c[nH]c(=O)[nH]c1=O ,-0.78
Fc1c[nH]c(=O)[nH]c1=O ,-0.792
O=c1cc[nH]c(=O)[nH]1 ,-0.441
CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.57
Cn1ccc(=O)[nH]c1=O,-0.375
Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C,-3.033
OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O ,-3.517
CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O,-3.557
O=C3CN=C(c1ccccc1)c2cc(ccc2N3)N(=O)=O,-3.473
Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,-3.707
CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,-4.05
OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O,-3.75
CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,-2.794
CCN2c1ncccc1N(CC)C(=O)c3cccnc23 ,-3.125
CCN2c1nc(C)cc(C(F)(F)F)c1NC(=O)c3cccnc23 ,-4.45
CCN2c1nc(N(C)(CCO))ccc1NC(=O)c3cccnc23 ,-3.335
CCN2c1nc(Cl)ccc1N(C)C(=O)c3cccnc23 ,-3.446
CCN2c1nc(C)cc(C)c1NC(=O)c3cccnc23 ,-3.891
Nc3ccc2cc1ccccc1cc2c3 ,-3.789
Cc1c2ccccc2c(C)c3ccccc13,-5.228
c3ccc2c(O)c1ccccc1cc2c3 ,-4.148
Cc1ccc2cc3ccccc3cc2c1,-4.87
Cc1c2ccccc2cc3ccccc13,-4.87
c1ccc2cc3ccccc3cc2c1,-4.518
Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.361
CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,-4.662
COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2,-3.928
Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,-5.645
CN(C)C(=O)Nc2ccc(Oc1ccc(Cl)cc1)cc2,-4.477
O(c1ccccc1)c2ccccc2,-4.254
c1ccc2c(c1)ccc3c4ccccc4ccc23,-5.568
Cc1cc2c3ccccc3ccc2c4ccccc14,-5.931
Nc3cc2c1ccccc1ccc2c4ccccc34 ,-4.849
c1cccc2c3c(C)cc4ccccc4c3ccc12,-5.931
Cc1c(C)c2c3ccccc3ccc2c4ccccc14,-6.265
c2c(C)cc1nc(C)ccc1c2 ,-3.342
Oc2ccc1ncccc1c2 ,-2.725
Oc1cccc2ncccc12 ,-2.725
Oc1cccc2cccnc12 ,-2.725
c1ccc2ncccc2c1,-2.663
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.989
CCCCc1c(C)nc(nc1O)N(C)C ,-3.57
c1cncnc1,-0.884
CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,-2.34
CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C ,-3.493
CCCC1CCCC1,-3.16
C1CCCC1,-2.038
CCCCCC1CCCC1,-3.869
CC1CCCC1,-2.452
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-5.026
CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,-5.026
O=C1NC(=O)c2ccccc12 ,-1.882
CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O,-3.992
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-5.032
c1c(NC(=O)c2ccccc2(I))cccc1,-4.245
Cc1cccc(C)c1NC(=O)c2cc(c(Cl)cc2O)S(N)(=O)=O,-3.642
c1ccccc1NC(=O)c2c(O)cccc2,-3.782
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-4.423
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,-4.228
CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.471
CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23 ,-4.408
Cn1c(=O)n(C)c2nc[nH]c2c1=O,-1.452
Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,-1.05
Cn2c(=O)n(C)c1ncn(CC(O)CO)c1c2=O,-0.847
Cn1cnc2n(C)c(=O)n(C)c(=O)c12,-1.498
OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl ,-4.156
ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl ,-5.152
ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-5.26
Nc1c(C)c[nH]c(=O)n1 ,-0.257
Nc1cc[nH]c(=O)n1 ,0.051
Nc1nc(=O)[nH]cc1F,-0.132
Cc2c(N)c(=O)n(c1ccccc1)n2C,-1.192
Cc1cc(=O)n(c2ccccc2)n1C,-1.733
CN(C)c2c(C)n(C)n(c1ccccc1)c2=O ,-2.129
ON=Cc1ccc(o1)N(=O)=O ,-1.843
O=Cc1ccco1,-1.391
c1ccoc1,-1.837
CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 ,-4.076
CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-2.645
CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3 ,-3.739
C1CCOC1,-0.62
CC1CCCO1,-1.034
OCC1OC(O)(CO)C(O)C1O,0.471
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.184
CNC(=O)Oc1cccc2CC(C)(C)Oc12,-3.05
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-5.133
OC1CCCCCCC1,-2.14
C1CCCCCCC1,-3.355
CN(C)C(=O)NC1CCCCCCC1,-2.629
Cc1ccc2c(ccc3ccccc32)c1,-4.87
c1ccc2c(c1)ccc3ccccc32,-4.518
Cc1cccc2c1ccc3ccccc32,-4.87
C(Cc1ccccc1)c2ccccc2,-4.301
CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.854
c1ccccc1C(O)C(O)c2ccccc2,-2.645
CC1=CC(=O)CC(C)(C)C1 ,-2.015
CC(=C)C1CC=C(C)C(=O)C1,-2.042
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1 ,-2.304
CC1=CCC(CC1)C(C)=C,-3.429
C1CCC=CC1,-2.16
CC1=CCCCC1,-2.574
C1OC(O)C(O)C(O)C1O,0.601
OCC1OC(O)C(O)C(O)C1O,0.501
C1CCOCC1,-0.978
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.36
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,-2.272
O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,-2.272
c1ccccc1n2ncc(N)c(Br)c2(=O),-3.005
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.029
Nc2cnn(c1ccccc1)c(=O)c2Cl,-2.603
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-4.138
CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C ,-4.317
CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O ,-3.858
c2ccc1scnc1c2 ,-2.733
CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,-3.085
Sc2nc1ccccc1s2 ,-3.411
c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O ,-4.076
CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2,-5.04
O2c1ccccc1N(CC)C(=O)c3ccccc23 ,-3.784
O2c1ccc(N)cc1N(C)C(=O)c3cc(C)ccc23 ,-3.125
C1Cc2c3c1cccc3cc4c2ccc5ccccc54,-5.942
c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2,-6.311
Cc1ncc(N(=O)=O)n1CCO,-0.859
Cc1ncc(N(=O)=O)n1CCO ,-0.859
NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl ,-1.72
NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl ,-2.98
CC2=CC(=O)c1ccccc1C2=O ,-2.667
ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O,-3.988
CCCCc1c(C)nc(NCC)[nH]c1=O,-2.732
Sc1nccc(=O)[nH]1 ,-0.992
CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O ,-3.913
CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,-4.554
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,-5.312
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,-6.114
Cc1c[nH]c2ccccc12 ,-2.981
c2ccc1[nH]ccc1c2,-2.654
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,-5.024
Clc2ccc1oc(=O)[nH]c1c2,-2.679
NC(=O)NC1NC(=O)NC1=O ,0.652
O=C1CNC(=O)N1 ,0.603
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-2.893
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C ,-3.426
c3ccc2nc1ccccc1cc2c3,-3.846
Nc2cccc3nc1ccccc1cc23 ,-3.542
C1CCCCCC1,-2.916
OC1CCCCCC1,-1.7
